Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PlugType,Seats,PriceEuro
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Yes,Type 2 CCS,5,55480
Volkswagen ,ID.3 Pure,10,160,270,167,250,Yes,Type 2 CCS,5,30000
Polestar ,Polestar 2,4.7,210,400,181,620,Yes,Type 2 CCS,5,56440
BMW ,iX3 ,6.8,180,360,206,560,Yes,Type 2 CCS,5,68040
Honda ,e ,9.5,145,170,168,190,Yes,Type 2 CCS,4,32997
Lucid ,Air ,2.8,250,610,180,620,Yes,Type 2 CCS,5,105000
Volkswagen ,e-Golf ,9.6,150,190,168,220,Yes,Type 2 CCS,5,31900
Peugeot ,e-208 ,8.1,150,275,164,420,Yes,Type 2 CCS,5,29682
Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Yes,Type 2 CCS,5,46380
Audi ,Q4 e-tron ,6.3,180,400,193,540,Yes,Type 2 CCS,5,55000
Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440,Yes,Type 2 CCS,5,69484
Nissan ,Leaf ,7.9,144,220,164,230,Yes,Type 2 CHAdeMO,5,29234
Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380,Yes,Type 2 CCS,5,40795
BMW ,i4 ,4,200,450,178,650,Yes,Type 2 CCS,5,65000
Hyundai ,IONIQ Electric,9.7,165,250,153,210,Yes,Type2,5,34459
Volkswagen ,ID.3 Pro S,7.9,160,440,175,590,Yes,Type 2 CCS,4,40936
Porsche ,Taycan Turbo S,2.8,260,375,223,780,Yes,Type 2 CCS,4,180781
Volkswagen ,e-Up! ,11.9,130,195,166,170,Yes,Type 2 CCS,4,21421
MG ,ZS EV,8.2,140,220,193,260,Yes,Type 2 CCS,5,30000
Mini ,Cooper SE ,7.3,150,185,156,260,Yes,Type 2 CCS,4,31681
Opel ,Corsa-e ,8.1,150,275,164,420,Yes,Type 2 CCS,5,29146
Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930,Yes,Type 2 CCS,7,58620
Skoda ,Enyaq iV 50,10,160,290,179,230,Yes,Type 2 CCS,5,35000
Audi ,e-tron GT ,3.5,240,425,197,850,Yes,Type 2 CCS,4,125000
Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910,Yes,Type 2 CCS,5,61480
Volkswagen ,ID.4 ,7.5,160,420,183,560,Yes,Type 2 CCS,5,45000
Volkswagen ,ID.3 Pro,9,160,350,166,490,Yes,Type 2 CCS,5,33000
Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470,Yes,Type 2 CCS,5,60437
BMW ,i3 120 Ah,7.3,150,235,161,270,Yes,Type 2 CCS,4,38017
Peugeot ,e-2008 SUV ,8.5,150,250,180,380,Yes,Type 2 CCS,5,34361
Audi ,e-tron 50 quattro,6.8,190,280,231,450,Yes,Type 2 CCS,5,67358
Kia ,e-Niro 64 kWh,7.8,167,370,173,350,Yes,Type 2 CCS,5,38105
Renault ,Zoe ZE50 R110,11.4,135,315,165,230,Yes,Type 2 CCS,5,31184
Tesla ,Cybertruck Tri Motor,3,210,750,267,710,Yes,Type 2 CCS,6,75000
Mazda ,MX-30 ,9,150,180,178,240,Yes,Type 2 CCS,5,32646
Nissan ,Leaf e+,7.3,157,325,172,390,Yes,Type 2 CHAdeMO,5,37237
Lexus ,UX 300e,7.5,160,270,193,190,Yes,Type 2 CHAdeMO,5,50000
CUPRA ,el-Born ,6.5,160,425,181,570,Yes,Type 2 CCS,4,45000
Renault ,Zoe ZE50 R135,9.5,140,310,168,230,Yes,Type 2 CCS,5,33133
Mercedes ,EQA ,5,200,350,171,440,Yes,Type 2 CCS,5,45000
Tesla ,Model S Long Range,3.8,250,515,184,560,Yes,Type 2,5,79990
Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210,Yes,Type 2 CCS,5,33971
Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610,Yes,Type 2 CCS,5,81639
Skoda ,CITIGOe iV ,12.3,130,195,166,170,Yes,Type 2 CCS,4,24534
SEAT ,Mii Electric ,12.3,130,195,166,170,Yes,Type 2 CCS,4,20129
Kia ,e-Soul 64 kWh,7.9,167,365,175,340,Yes,Type 2 CCS,5,36837
Opel ,Ampera-e ,7.3,150,335,173,210,Yes,Type 2 CCS,5,41906
Porsche ,Taycan 4S,4,250,365,195,730,Yes,Type 2 CCS,4,102945
Lightyear ,One ,10,150,575,104,540,Yes,Type 2 CCS,5,149000
Aiways ,U5 ,9,150,335,188,350,Yes,Type 2 CCS,5,36057
Audi ,e-tron 55 quattro,5.7,200,365,237,590,Yes,Type 2 CCS,5,79445
Tesla ,Roadster ,2.1,410,970,206,920,Yes,Type 2 CCS,4,215000
Opel ,Mokka-e ,8.5,150,255,176,390,Yes,Type 2 CCS,5,35000
Skoda ,Enyaq iV 80,8.8,160,420,183,560,Yes,Type 2 CCS,5,40000
Tesla ,Model X Long Range,4.6,250,450,211,490,Yes,Type 2,7,85990
Honda ,e Advance,8.3,145,170,168,190,Yes,Type 2 CCS,4,35921
DS ,3 Crossback E-Tense,8.7,150,250,180,380,Yes,Type 2 CCS,5,37422
Renault ,Twingo ZE,12.6,135,130,164,400,No,Type 2,4,24790
Citroen ,e-C4 ,9.7,150,250,180,380,Yes,Type 2 CCS,5,40000
Tesla ,Model S Performance,2.5,261,505,188,550,Yes,Type 2,5,96990
Renault ,Zoe ZE40 R110,11.4,135,255,161,230,Yes,Type 2 CCS,5,29234
Tesla ,Model Y Long Range Performance,3.7,241,410,177,900,Yes,Type 2 CCS,7,65620
Nissan ,Ariya 87kWh,7.6,160,440,198,520,Yes,Type 2 CCS,5,50000
Jaguar ,I-Pace ,4.8,200,365,232,340,Yes,Type 2 CCS,5,75351
Ford ,Mustang Mach-E ER RWD,7,180,450,200,430,Yes,Type 2 CCS,5,54475
Porsche ,Taycan 4S Plus,4,250,425,197,890,Yes,Type 2 CCS,4,109302
Nissan ,e-NV200 Evalia ,14,123,190,200,190,Yes,Type 1 CHAdeMO,7,33246
Tesla ,Cybertruck Dual Motor,5,190,460,261,710,Yes,Type 2 CCS,6,55000
Renault ,Kangoo Maxi ZE 33,22.4,130,160,194,390,No,Type 2,5,38000
Ford ,Mustang Mach-E ER AWD,6,180,430,209,410,Yes,Type 2 CCS,5,62900
BMW ,i3s 120 Ah,6.9,160,230,165,260,Yes,Type 2 CCS,4,41526
Skoda ,Enyaq iV 80X,7,160,400,193,540,Yes,Type 2 CCS,5,45000
Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770,Yes,Type 2 CCS,4,150000
Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460,Yes,Type 2 CCS,5,64000
Sono ,Sion ,9,140,225,156,270,Yes,Type 2 CCS,5,25500
Kia ,e-Niro 39 kWh,9.8,155,235,167,230,Yes,Type 2 CCS,5,34400
Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550,Yes,Type 2 CCS,5,57500
Smart ,EQ forfour ,12.7,130,95,176,410,No,Type 2,4,22030
Ford ,Mustang Mach-E SR AWD,6,180,340,206,360,Yes,Type 2 CCS,5,54000
Porsche ,Taycan Turbo,3.2,260,390,215,810,Yes,Type 2 CCS,4,148301
Volkswagen ,ID.3 1st,7.3,160,340,171,470,Yes,Type 2 CCS,5,38987
Tesla ,Model X Performance,2.8,250,440,216,480,Yes,Type 2,7,102990
Smart ,EQ fortwo coupe,11.6,130,100,167,410,No,Type 2,2,21387
Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380,Yes,Type 2 CCS,5,46900
Mercedes ,EQV 300 Long,10,140,330,273,290,Yes,Type 2 CCS,7,70631
Fiat ,500e Hatchback,9,150,250,168,330,Yes,Type 2 CCS,4,34900
Tesla ,Cybertruck Single Motor,7,180,390,256,740,Yes,Type 2 CCS,6,45000
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,Yes,Type 2 CCS,5,69551
Skoda ,Enyaq iV vRS,6.2,180,400,193,540,Yes,Type 2 CCS,5,47500
Skoda ,Enyaq iV 60,9,160,320,181,440,Yes,Type 2 CCS,5,37500
Audi ,e-tron S 55 quattro,4.5,210,320,270,510,Yes,Type 2 CCS,5,93800
Smart ,EQ fortwo cabrio,11.9,130,95,176,400,No,Type 2,2,24565
Kia ,e-Soul 64 kWh,7.9,167,365,175,320,Yes,Type 2 CCS,5,36837
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500,Yes,Type 2 CCS,5,57500
Fiat ,500e Convertible,9,150,250,168,330,Yes,Type 2 CCS,4,37900
Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470,Yes,Type 2 CCS,5,35575
Kia ,e-Soul 39 kWh,9.9,157,230,170,220,Yes,Type 2 CCS,5,33133
Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420,Yes,Type 2 CCS,5,53500
Nissan ,Ariya 63kWh,7.5,160,330,191,440,Yes,Type 2 CCS,5,45000
Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540,Yes,Type 2 CCS,5,96050
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440,Yes,Type 2 CCS,5,50000
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450,Yes,Type 2 CCS,5,65000
Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480,Yes,Type 2 CCS,5,62000
Tesla ,Tesla Model 3 ,5.6,225,340,147,680,Yes,Type 2 CCS,4,44560
Volkswagen ,Volkswagen ID.3 Pure PerformanceVolkswagen ID.3 Pure Performance,8.9,160,275,164,260,Yes,Type 2 ,4,32190
Tesla ,Tesla Model 3 Long Range Dual,4.4,233,455,154,560,Yes,Type 2 CCS,4,48490
Dacia,Dacia Spring Electric,15,125,170,158,120,Yes,Type 2 CCS,4,18500
Mercedes ,Mercedes EQS 580 4MATIC,4.3,210,610,177,800,Yes,Type 2 CCS,4,140000
Kia ,Kia EV6 GT,3.5,260,395,196,920,Yes,Type 2 CCS,4,64500
Skoda ,Skoda Enyaq iV 80,8.6,160,420,183,510,Yes,Type 2 CCS,5,45780
Mercedes ,Mercedes EQS 450+ ,6.2,210,640,168,840,Yes,Type 2 ,4,120000
Hyundai ,Hyundai IONIQ 5 Long Range AWD,5.2,185,375,194,870,Yes,Type 2 CCS,4,50500
Nissan ,Nissan Leaf,7.9,144,220,164,230,Yes,Type 2 CCS,4,32990
Audi ,Audi e-tron,3.3,250,395,162,370,Yes,Type 2 CCS,4,145300
BMW ,iX xDrive50,4.6,200,505,208,620,Yes,Type 2 CCS,7,98000
BMW ,i4 M50,3.9,225,450,179,630,Yes,Type 2 CCS,4,69900
MG ,Marvel R Performance,4.9,200,330,197,380,Yes,Type 2 ,7,50000
Porsche ,Taycan Turbo S,2.8,260,390,215,860,Yes,Type 2 CCS,2,191700
Kia ,Kia EV6 Long Range AWD,5.4,185,410,189,950,Yes,Type 2 CCS,5,56000
Audi ,Audi Q4 Sportback e-tron 40,8.5,160,425,180,520,Yes,Type 2 CCS,4,50000
Tesla ,Tesla Model S Long Range,3.2,250,555,162,830,Yes,Type 2 CCS,4,86990
Renault ,Renault Twingo Electric,12.6,135,130,164,450,Yes,Type 2 CCS,4,24790
Mercedes ,Mercedes EQA 350 4MATIC,6,160,350,190,420,Yes,Type 2 ,7,56216
Renault ,Renault Megane E-Tech Electric,8,160,335,179,480,Yes,Type 2 CCS,5,38000
Hyundai ,Hyundai IONIQ 5 Standard Range 2WD,8.5,185,310,187,720,Yes,Type 2 CCS,4,43500
CUPRA ,CUPRA Born 170 kW - 82 kWh,7,160,450,171,550,Yes,Type 2 CCS,5,43000
Mustang,Ford Mustang Mach-E ER AWD,5.8,180,420,210,410,Yes,Type 2 CCS,4,65900
Seres ,Seres 3,8.9,155,270,193,390,Yes,Type 2 CCS,5,37995
Lexus ,Lexus UX 300e,7.5,160,260,192,150,Yes,Type 2 ,4,47550
Jaguar ,Jaguar I-Pace EV400,4.8,200,365,232,340,Yes,Type 2 CCS,5,82000
Lucid ,Lucid Air Grand Touring,3.2,270,660,167,1380,Yes,Type 2 CCS,4,140000
SEAT ,SEAT Mii Electric,12.3,130,205,158,170,Yes,Type 2 CCS,4,24650
Fiat ,Fiat 500e Hatchback 24 kWh,9.5,135,165,144,260,Yes,Type 2 CCS,4,25000
Volvo ,Volvo C40 Recharge,4.7,180,340,221,440,Yes,Type 2 CCS,5,58000
Porsche ,Porsche Taycan 4S,4,250,375,189,750,Yes,Type 2 CCS,4,110600
Mercedes ,Mercedes EQB 350 4MATIC,6.5,160,340,196,400,Yes,Type 2 CCS,7,60000
Kia ,Kia e-Soul 64 kWh,7.9,167,370,173,350,Yes,Type 2 CCS,5,37545
Mini Cooper,Mini Cooper SE,7.3,150,185,156,260,Yes,Type 2 CCS,4,36200
Fiat ,Fiat 500e Cabrio,9,150,245,152,410,Yes,Type 2 CCS,2,31600
Nissan ,Nissan e-NV200 Evalia,14,123,165,218,170,Yes,Type 2 CCS,7,45173
Volkswagen ,Volkswagen ID.4 Pure Performance,9,160,285,182,410,Yes,Type 2 CCS,5,42190
Tesla ,Tesla Model X Plaid,2.6,262,455,198,680,Yes,Type 2 CCS,4,116990
Renault ,Renault Kangoo Maxi ZE 33,22.4,130,160,194,180,Yes,Type 2 CCS,7,31680
DS ,DS 3 Crossback E-Tense,8.7,150,250,180,330,Yes,Type 2 CCS,5,39990
Kia ,Kia EV6 Standard Range 2WD,8.5,185,320,181,740,Yes,Type 2 CCS,5,44990
MG ,MG Marvel R,7.9,200,340,191,390,Yes,Type 2 CCS,5,40000
Fiat ,Fiat 500e 3+1,9,150,245,152,410,Yes,Type 2 CCS,2,30600
Porsche ,Porsche Taycan 4 Cross Turismo,5.1,220,405,207,850,Yes,Type 2 CCS,4,97399
Lucid ,Lucid Air Pure,4.2,200,540,157,1410,Yes,Type 2 CCS,4,80000
Audi ,Audi Q4 Sportback e-tron 50 quattro,6.2,180,400,192,490,Yes,Type 2 CCS,4,55600
Porsche ,Taycan Plus,5.4,230,460,182,960,Yes,Type 2 CCS,4,89244
Citroen ,Citroen e-SpaceTourer M 50 kWh,12.1,130,185,243,250,Yes,Type 2 CCS,7,51440
Audi ,Q4 Sportback e-tron 35,9,160,295,175,410,Yes,Type 2 CCS,4,43900
Ford ,Ford Mustang Mach-E SR AWD,6.3,180,330,206,360,Yes,Type 2 CCS,4,54000
Nissan ,Nissan Ariya 63kWh,7.5,160,335,188,450,Yes,Type 2 CCS,4,45000
CUPRA ,CUPRA Born 170 kW - 62 kWh,6.6,160,345,168,430,Yes,Type 2 CCS,4,39000
JAC,JAC iEV7s,12,132,225,173,160,Yes,Type 2 CCS,4,32210
Toyota,PROACE Verso M 75 kWh ,13.1,130,270,252,290,Yes,Type 2 CCS,7,58995
Peugeot ,Peugeot e-Rifter Standard 50 kWh,11.7,135,200,225,270,Yes,Type 2 CCS,4,37590
Opel ,Zafira-e Life L 75 kWh,13.3,130,270,252,290,No,Type 2 CCS,7,60625
Citroen ,Citroen e-SpaceTourer XL 75 kWh,13.3,130,270,252,290,Yes,Type 2 CCS,7,58230
Peugeot ,Peugeot e-Traveller Standard 50 kWh,13.1,130,185,243,250,Yes,Type 2 CCS,7,55900
Porsche ,Porsche Taycan 4S Cross Turismo,4.1,240,405,207,850,Yes,Type 2 CCS,4,111842
Smart EQ ,Smart EQ fortwo cabrio,11.9,130,95,176,170,No,Type 2 CCS,2,21720
Peugeot ,Peugeot e-Traveller Compact 50 kWh,12.1,130,185,243,250,Yes,Type 2 CCS,7,50880
Renault ,Renault Zoe R135,9.5,140,310,168,110,Yes,Type 2 CCS,5,28795
Aiways ,Aiways U5 Premium,7.8,150,400,167,190,Yes,Type 2 CCS,5,37990
Audi , Audi e-tron S quattro,5.1,210,364,267,150,Yes,Type 2 CCS,5,52900
Audi , Q4 e-tron 50 quattro S Competion,6.2,180,488,180,162,Yes,Type 2 CCS,5,60631
